minutes,tripId,route,DAY,expressArrivalTime,destArrivalTime,decision
947,092950_2..S01R,express,Tuesday,1458677742,1458678192,False
947,093800_2..S01R,express,Tuesday,1458678187,1458678637,False
947,094450_2..S01R,express,Tuesday,1458678462,1458678912,False
947,093600_3..S01R,express,Tuesday,1458676042,1458676601,False
947,094400_3..S01R,express,Tuesday,1458676738,1458677158,False
949,092400_1..S02R,local,Tuesday,1458676268,1458676958,True
949,092900_1..S02R,local,Tuesday,1458676511,1458677201,True
949,093400_1..S02R,local,Tuesday,1458676886,1458677576,True
949,093900_1..S02R,local,Tuesday,1458677110,1458677800,True
949,094400_1..S02R,local,Tuesday,1458677360,1458678050,True
949,094900_1..S02R,local,Tuesday,1458677578,1458678268,True
949,089800_2..S01R,express,Tuesday,1458676128,1458676736,False
949,090550_2..S01R,express,Tuesday,1458676786,1458677206,False
949,091350_2..S01R,express,Tuesday,1458677045,1458677465,False
949,092300_2..S01R,express,Tuesday,1458677416,1458677836,False
949,092950_2..S01R,express,Tuesday,1458677797,1458678247,False
949,093800_2..S01R,express,Tuesday,1458678182,1458678632,False
949,094450_2..S01R,express,Tuesday,1458678479,1458678929,False
949,093600_3..S01R,express,Tuesday,1458676128,1458676578,False
949,094400_3..S01R,express,Tuesday,1458676738,1458677158,False
949,092400_1..S02R,local,Tuesday,1458676167,1458676977,True
949,092900_1..S02R,local,Tuesday,1458676528,1458677218,True
949,093400_1..S02R,local,Tuesday,1458676877,1458677567,True
949,093900_1..S02R,local,Tuesday,1458677123,1458677813,True
949,094400_1..S02R,local,Tuesday,1458677363,1458678053,True
949,094900_1..S02R,local,Tuesday,1458677572,1458678262,True
949,089800_2..S01R,express,Tuesday,1458676149,1458676736,False
949,090550_2..S01R,express,Tuesday,1458676850,1458677270,False
949,091350_2..S01R,express,Tuesday,1458677071,1458677491,False
949,092950_2..S01R,express,Tuesday,1458677837,1458678287,False
949,093800_2..S01R,express,Tuesday,1458678147,1458678597,False
949,094450_2..S01R,express,Tuesday,1458678475,1458678925,False
949,094400_3..S01R,express,Tuesday,1458676715,1458677135,False
950,092400_1..S02R,local,Tuesday,1458676217,1458676977,False
950,092900_1..S02R,local,Tuesday,1458676468,1458677158,False
